Statistical profiling result from profilerSinConsole.log, (9363 ticks, 23 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    132    1.4%          /usr/lib/system/libsystem_pthread.dylib
    110    1.2%          /usr/lib/system/libsystem_malloc.dylib
     80    0.9%          /usr/lib/system/libsystem_platform.dylib
     79    0.8%          /usr/lib/system/libsystem_c.dylib
     49    0.5%          /usr/lib/system/libsystem_kernel.dylib
     44    0.5%          /usr/lib/libc++.1.dylib
      7    0.1%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libsystem_notify.dylib
      1    0.0%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     15    0.2%    0.2%  RegExp: [ \t]*<%_
     14    0.1%    0.2%  LazyCompile: *resolve node:path:1091:10
     14    0.1%    0.2%  LazyCompile: *next /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/index.js:177:16
      9    0.1%    0.1%  LazyCompile: *deserializeObject /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/bson/lib/parser/deserializer.js:65:27
      8    0.1%    0.1%  LazyCompile: *scanLine /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:815:22
      6    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      5    0.1%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      3    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      3    0.0%    0.0%  LazyCompile: *validateString node:internal/validators:119:24
      3    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      3    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:640:37
      3    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:505:28
      3    0.0%    0.0%  Function: ^validateString node:internal/validators:119:24
      3    0.0%    0.0%  Function: ^stat node:internal/modules/cjs/loader:151:14
      3    0.0%    0.0%  Function: ^shouldDestroy /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express-session/index.js:435:27
      3    0.0%    0.0%  Function: ^handle /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/layer.js:86:49
      2    0.0%    0.0%  RegExp: [|\\{}()[\]^$+*?.]
      2    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.0%  LazyCompile: *realpathSync node:fs:2460:22
      2    0.0%    0.0%  LazyCompile: *normalize node:path:1127:12
      2    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      2    0.0%    0.0%  Function: ^resolve node:path:1091:10
      2    0.0%    0.0%  Function: ^next /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/express/lib/router/route.js:116:16
      2    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      2    0.0%    0.0%  Function: ^_writeRaw node:_http_outgoing:354:19
      2    0.0%    0.0%  Function: ^Module.require node:internal/modules/cjs/loader:1020:36
      2    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:865:35
      2    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:771:24
      2    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1135:37
      2    0.0%    0.0%  Function: ^<anonymous> node:internal/console/constructor:355:10
      2    0.0%    0.0%  Function: ^<anonymous> file:///Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/routes/info.js:19:25
      2    0.0%    0.0%  Function: ^<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/log4js/lib/appenders/logLevelFilter.js:4:10
      2    0.0%    0.0%  Function: ^<anonymous> /Users/Juli/Desktop/CODER/Backend/desafios/backend-desafios/desafio14/node_modules/ejs/lib/ejs.js:742:32
      1    0.0%    0.0%  RegExp: _%>[ \t]*
      1    0.0%    0.0%  RegExp: ^\uFEFF
      1    0.0%    0.0%  RegExp: ^\/logout\/?$
      1    0.0%    0.0%  RegExp: ^\/login\/?$
      1    0.0%    0.0%  RegExp: ^\/?$
